section_id,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BU0287FK|294|0.0,81.0,,100.0,,,81.0,75.0,85.0,77.0,100.0,99.0,100.0,96.0,100.0,100.0,95.0,97.0,100.0,100.0,100.0,98.0,86.0,92.0,96.0,88.0,66.0,89.0,87.0,90.0
BU0287JK|344|0.0,,15.0,,26.0,,96.0,88.0,,95.0,71.0,24.0,90.0,,90.0,21.0,16.0,15.0,53.0,90.0,48.0,77.0,80.0,7.0,99.0,100.0,100.0,100.0,100.0,99.0
BU0287JK|344|1.0,,95.0,,17.0,,98.0,9.0,16.0,14.0,20.0,35.0,16.0,,29.0,1.0,25.0,38.0,35.0,100.0,75.0,73.0,55.0,55.0,61.0,60.0,56.0,63.0,55.0,49.0
BU0287JK|346|0.0,,100.0,,68.0,,92.0,86.0,99.0,99.0,96.0,3.0,85.0,95.0,97.0,95.0,100.0,95.0,100.0,89.0,98.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BU0287JK|346|0.5,,46.0,,51.0,,89.0,84.0,83.0,84.0,78.0,95.0,,78.0,70.0,95.0,99.0,99.0,100.0,98.0,95.0,99.0,95.0,94.0,98.0,94.0,100.0,100.0,100.0,100.0
BU0287JK|346|1.0,,86.0,,95.0,,64.0,83.0,87.0,70.0,99.0,84.0,90.0,84.0,68.0,58.0,84.0,100.0,90.0,88.0,95.0,97.0,82.0,91.0,85.0,82.0,99.0,100.0,100.0,100.0
BU0287PK|262|1.0,,,,,,,,,,,,,84.0,59.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,86.0,84.0,84.0,80.0,100.0,99.0,100.0
BU0287PK|264|1.1,,,,,,,,36.0,19.0,17.0,19.0,23.0,34.0,19.0,100.0,90.0,43.0,32.0,62.0,56.0,43.0,,,,,,,,
BU0287PK|268|0.0,,19.0,,34.0,48.0,34.0,14.0,36.0,10.0,26.0,3.0,1.0,51.0,30.0,3.0,26.0,43.0,48.0,29.0,7.0,13.0,16.0,1.0,34.0,19.0,20.0,16.0,,
BU0287PK|268|0.5,,,,48.0,59.0,53.0,52.0,33.0,22.0,15.0,15.0,48.0,28.0,35.0,43.0,65.0,47.0,38.0,34.0,64.0,26.0,32.0,26.0,46.0,41.0,37.0,44.0,,
BU0287PK|278|0.8,,,,,,,,,,,,100.0,100.0,100.0,100.0,95.0,95.0,95.0,91.0,64.0,65.0,,,,,,,,
BU0287PK|278|0.827,,,,,,,,,,,,100.0,100.0,100.0,100.0,95.0,95.0,95.0,91.0,64.0,65.0,47.0,100.0,,,,,,
BU0287PK|280|0.0,,,,90.0,100.0,78.0,72.0,52.0,72.0,,65.0,100.0,100.0,65.0,78.0,65.0,100.0,100.0,99.0,44.0,79.0,46.0,100.0,33.0,90.0,39.0,84.0,84.0,95.0
BU0287PK|280|0.3,,,,,,,,,,,,99.0,100.0,59.0,100.0,100.0,100.0,100.0,82.0,79.0,95.0,,,,,,,,
BU0287PK|280|0.5,,,,84.0,95.0,95.0,100.0,90.0,95.0,65.0,99.0,95.0,41.0,33.0,78.0,77.0,83.0,94.0,32.0,70.0,,,,,,,,,
BU0287PK|282|0.0,,,,,,,,,,,,84.0,32.0,37.0,71.0,74.0,30.0,27.0,59.0,11.0,46.0,5.0,56.0,46.0,57.0,47.0,45.0,30.0,18.0
BU0287PK|282|0.5,,,,,,,,,,,,77.0,32.0,30.0,84.0,44.0,40.0,23.0,43.0,21.0,30.0,12.0,28.0,25.0,34.0,29.0,31.0,22.0,25.0
BU0287PK|282|1.0,,,,,,,,,,,,95.0,35.0,32.0,78.0,89.0,84.0,90.0,95.0,95.0,75.0,35.0,58.0,45.0,71.0,73.0,68.0,59.0,54.0
BU0287PK|288|0.0,,,,65.0,84.0,78.0,78.0,95.0,95.0,65.0,78.0,83.0,,,53.0,84.0,99.0,90.0,95.0,100.0,13.0,54.0,66.0,79.0,69.0,100.0,94.0,89.0,95.0
BU0287PK|288|0.5,,,,95.0,99.0,90.0,71.0,78.0,78.0,65.0,78.0,48.0,,,78.0,71.0,84.0,84.0,84.0,90.0,25.0,46.0,50.0,72.0,61.0,100.0,100.0,100.0,100.0
BU0287PK|288|1.0,,,,,,,,,,,,65.0,,,53.0,90.0,71.0,71.0,65.0,71.0,46.0,79.0,81.0,,,,,,
BU0287PL|262|1.9,,100.0,,100.0,,,,95.0,100.0,99.0,100.0,99.0,100.0,99.0,100.0,100.0,78.0,19.0,100.0,100.0,,,,,,,,,
BU0287PL|264|0.0,,100.0,,99.0,100.0,95.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,84.0,35.0,79.0,84.0,84.0,100.0,100.0,48.0,100.0,66.0,98.0,84.0,94.0,95.0,95.0,97.0
BU0287PL|264|0.2,,84.0,,100.0,100.0,26.0,100.0,90.0,84.0,100.0,84.0,100.0,95.0,38.0,4.0,65.0,100.0,100.0,78.0,100.0,,,,,,,,,
BU0287PL|264|0.7,,,,,,,,,22.0,43.0,16.0,22.0,16.0,34.0,29.0,47.0,81.0,74.0,39.0,38.0,,,,,,,,,
BU0287PR|262|1.7,,,,,,,,100.0,,100.0,,,95.0,100.0,100.0,99.0,62.0,,65.0,65.0,78.0,,,,,,,,
BU0287PR|262|1.9,,100.0,,100.0,100.0,,,41.0,31.0,37.0,17.0,90.0,71.0,100.0,100.0,39.0,100.0,,100.0,100.0,,,,,,,,,
BU0287PR|264|0.0,,100.0,,100.0,100.0,100.0,84.0,100.0,65.0,65.0,38.0,100.0,90.0,71.0,95.0,62.0,95.0,100.0,100.0,83.0,100.0,98.0,61.0,91.0,76.0,80.0,81.0,76.0,34.0
BU0287PR|264|0.2,,84.0,,78.0,99.0,100.0,78.0,65.0,90.0,71.0,53.0,95.0,38.0,48.0,53.0,83.0,58.0,70.0,66.0,25.0,,,,,,,,,
BU0287PR|264|0.7,,59.0,,90.0,,95.0,38.0,48.0,48.0,43.0,,53.0,,,38.0,26.0,38.0,34.0,43.0,21.0,,,,,,,,,
FM0013 K|316|0.0,,,,,,84.0,62.0,64.0,59.0,18.0,38.0,47.0,40.0,63.0,26.0,45.0,,,,,,,,,,,,,
