section_id,roadbed,begin_marker,begin_disp,district,county,pavtype,begin_dfo,end_dfo,n_years,lon,lat
BU0287FK|292|1.5,BU0287FK,292,1.5,03 - WICHITA FALLS,244 - WILBARGER,,3.515,3.957,26,-99.261734,34.151582
BU0287FK|294|0.0,BU0287FK,294,0.0,03 - WICHITA FALLS,244 - WILBARGER,,3.957,4.057,26,-99.258327,34.151147
BU0287JK|344|0.0,BU0287JK,344,0.0,03 - WICHITA FALLS,243 - WICHITA,J - JOINTED CONCRETE PAVEMENT (JCP),11.688,12.188,24,-98.498768,33.920132
BU0287JK|344|1.0,BU0287JK,344,1.0,03 - WICHITA FALLS,243 - WICHITA,,12.688,13.188,25,-98.487713,33.906603
BU0287JK|346|0.0,BU0287JK,346,0.0,03 - WICHITA FALLS,243 - WICHITA,,13.684,14.184,26,-98.476945,33.899393
BU0287JK|346|0.5,BU0287JK,346,0.5,03 - WICHITA FALLS,243 - WICHITA,,14.184,14.684,25,-98.466951,33.899676
BU0287JK|346|1.0,BU0287JK,346,1.0,03 - WICHITA FALLS,243 - WICHITA,,14.684,15.161,26,-98.458139,33.901196
BU0287PK|262|1.0,BU0287PK,262,1.0,02 - FORT WORTH,220 - TARRANT,J - JOINTED CONCRETE PAVEMENT (JCP),9.087,9.587,17,-97.36105,32.85425
BU0287PK|264|1.1,BU0287PK,264,1.1,02 - FORT WORTH,220 - TARRANT,J - JOINTED CONCRETE PAVEMENT (JCP),11.25,11.65,14,-97.355715,32.825728
BU0287PK|268|0.0,BU0287PK,268,0.0,02 - FORT WORTH,220 - TARRANT,J - JOINTED CONCRETE PAVEMENT (JCP),13.917,14.417,25,-97.349176,32.787115
BU0287PK|268|0.5,BU0287PK,268,0.5,02 - FORT WORTH,220 - TARRANT,J - JOINTED CONCRETE PAVEMENT (JCP),14.417,14.917,24,-97.348261,32.780399
BU0287PK|278|0.8,BU0287PK,278,0.8,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),25.125,25.725,10,-97.257655,32.672959
BU0287PK|278|0.827,BU0287PK,278,0.827,02 - FORT WORTH,220 - TARRANT,,25.152,25.725,12,-97.257573,32.672922
BU0287PK|280|0.0,BU0287PK,280,0.0,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),26.316,26.816,25,-97.240463,32.664455
BU0287PK|280|0.3,BU0287PK,280,0.3,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),26.616,26.816,10,-97.238625,32.662959
BU0287PK|280|0.5,BU0287PK,280,0.5,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),26.816,27.316,17,-97.233934,32.658524
BU0287PK|282|0.0,BU0287PK,282,0.0,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),28.351,28.851,18,-97.217776,32.64329
BU0287PK|282|0.5,BU0287PK,282,0.5,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),28.851,29.351,18,-97.211349,32.637223
BU0287PK|282|1.0,BU0287PK,282,1.0,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),29.351,29.851,18,-97.204172,32.630405
